ktau,npt,veg%iveg,casamet%lat,casamet%lon,casamet%areacell,mimicspool%LITm,mimicspool%LITs,mimicspool%MICr,mimicspool%MICk,mimicspool%SOMa,mimicspool%SOMc,mimicspool%SOMp
7,148,17,42.63,10,4.781788025,1,1,0.015,0.025,1,1,0
7,149,14,44.53,10,33.34042939,1,1,0.015,0.025,1,1,0
7,150,14,46.42,10,40.37485249,1,1,0.015,0.025,1,1,0
7,151,14,48.32,10,38.94993605,1,1,0.015,0.025,1,1,0
7,152,14,50.21,10,37.48242531,1,1,0.015,0.025,1,1,0
7,153,14,52.11,10,35.97392999,1,1,0.015,0.025,1,1,0
7,154,14,54,10,27.1872832,1,1,0.015,0.025,1,1,0
7,155,12,55.89,10,28.94388757,1,1,0.015,0.025,1,1,0
7,156,17,57.79,10,6.270863183,1,1,0.015,0.025,1,1,0
7,157,1,59.68,10,25.56847851,1,1,0.015,0.025,1,1,0
7,158,1,61.58,10,27.87584331,1,1,0.015,0.025,1,1,0
7,159,1,63.47,10,20.04989076,1,1,0.015,0.025,1,1,0
7,160,17,65.37,10,0.967148453,1,1,0.015,0.025,1,1,0
7,161,17,78.63,10,0.287712248,1,1,0.015,0.025,1,1,0
7,162,15,-71.05,12.5,19.01737725,1,1,0.015,0.025,1,1,0
7,163,17,-69.16,12.5,4.494669697,1,1,0.015,0.025,1,1,0
7,164,17,-19.89,12.5,18.20728064,1,1,0.015,0.025,1,1,0
7,165,16,-18,12.5,40.42834625,1,1,0.015,0.025,1,1,0
7,166,7,-16.11,12.5,45.01642727,1,1,0.015,0.025,1,1,0
7,167,17,-14.21,12.5,25.67842743,1,1,0.015,0.025,1,1,0
7,168,17,-12.32,12.5,7.470762797,1,1,0.015,0.025,1,1,0
7,169,17,-10.42,12.5,7.21630034,1,1,0.015,0.025,1,1,0
7,170,17,-8.53,12.5,20.27263943,1,1,0.015,0.025,1,1,0
7,171,17,-6.63,12.5,23.02528447,1,1,0.015,0.025,1,1,0
7,172,2,-4.74,12.5,48.03581816,1,1,0.015,0.025,1,1,0
7,173,2,-2.84,12.5,58.49712475,1,1,0.015,0.025,1,1,0
7,174,2,-0.95,12.5,58.56116161,1,1,0.015,0.025,1,1,0
7,175,2,0.95,12.5,58.56116161,1,1,0.015,0.025,1,1,0
7,176,2,2.84,12.5,58.49712475,1,1,0.015,0.025,1,1,0
