iYrCnt,npt,veg%iveg,casamet%lat,casamet%lon,casamet%areacell,mimicspool%LITm,mimicspool%LITs,mimicspool%MICr,mimicspool%MICk,mimicspool%SOMa,mimicspool%SOMc,mimicspool%SOMp
     1,      41,      16,       23.6800000000,        2.5000000000,       53.6360837120,        0.0021051004,        0.0951340587,        0.0000000000,        0.0000000000,        0.4035661681,        0.8114824821,        0.0000000000,
     1,      42,      16,       25.5800000000,        2.5000000000,       52.8288768000,        0.0017453394,        0.0970662674,        0.0000000000,        0.0000000000,        0.4047351946,        0.8056069293,        0.0000000001,
     1,      43,      16,       27.4700000000,        2.5000000000,       51.9639040000,        0.0055225870,        0.1232460570,        0.0000000000,        0.0000000000,        0.4660649488,        0.8458615720,        0.0000000581,
     1,      44,      16,       29.3700000000,        2.5000000000,       51.0421073920,        0.0085139555,        0.1094604407,        0.0000000000,        0.0000000000,        0.5413268363,        0.8400181907,        0.0000001778,
     1,      45,      16,       31.2600000000,        2.5000000000,       50.0644986880,        0.2030563729,        0.7214962391,        0.0000837505,        0.0000000000,        0.2623178055,        0.9562902255,        0.0002161657,
     1,      46,      16,       33.1600000000,        2.5000000000,       49.0321428480,        0.1895048342,        0.6306942170,        0.0008279397,        0.0016030694,        0.5546472899,        1.2044345594,        0.0166978199,
     1,      47,       7,       35.0500000000,        2.5000000000,       47.9461744640,        0.3441095332,        1.2418027381,        0.0073651306,        0.0118600118,        0.9732580313,        2.1067629771,        0.2074066957,
     1,      48,      17,       36.9500000000,        2.5000000000,       17.4663331840,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,      49,      17,       40.7400000000,        2.5000000000,        6.1207203840,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,      50,      14,       42.6300000000,        2.5000000000,       28.3628564480,        1.2266184981,        3.1393917019,        0.0791819239,        0.0885955393,        2.6651830959,        3.2640008921,        3.1708501215,
     1,      51,      14,       44.5300000000,        2.5000000000,       41.7556234240,        1.8795931709,        4.3915364983,        0.1206988398,        0.1334597254,        3.9356232992,        3.9393302520,        4.5690516905,
     1,      52,      14,       46.4200000000,        2.5000000000,       40.3748536320,        1.5844620604,        3.8416852115,        0.1100438981,        0.1239686519,        3.4239752646,        3.5903582538,        4.4168910566,
     1,      53,      12,       48.3200000000,        2.5000000000,       38.9499371520,        1.1286068614,        3.4303350347,        0.0710826204,        0.0855198793,        2.6258370183,        3.7033663546,        2.7594511144,
     1,      54,      12,       50.2100000000,        2.5000000000,       35.2301301760,        1.2183610075,        3.6670404293,        0.0713544544,        0.0844155196,        2.7973861603,        3.9460636145,        2.7039398611,
     1,      55,      17,       52.1100000000,        2.5000000000,        4.8718182400,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,      56,      15,      -71.0500000000,        5.0000000000,       19.0173777920,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,      57,      17,      -69.1600000000,        5.0000000000,        2.4802042880,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,      58,      17,        4.7400000000,        5.0000000000,       14.3895244800,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,      59,       2,        6.6300000000,        5.0000000000,       47.9041576960,        0.4434470958,        1.5811326259,        0.0575594239,        0.0750061010,        1.4668299254,        2.0436240418,        3.7616352898,
     1,      60,       8,        8.5300000000,        5.0000000000,       57.9218554880,        0.3941991202,        1.2200264625,        0.0460466196,        0.0561052889,        1.1892954823,        1.5846070588,        3.0755663387,
     1,      61,       9,       10.4200000000,        5.0000000000,       57.6030760960,        0.4239978640,        1.2409714888,        0.0495168620,        0.0607679187,        1.3825709129,        1.5824003829,        4.6825937812,
     1,      62,       9,       12.3200000000,        5.0000000000,       57.2213043200,        0.3467469675,        1.0533785749,        0.0288966670,        0.0336039341,        1.1188064164,        1.4918425313,        2.0000774770,
     1,      63,      10,       14.2100000000,        5.0000000000,       56.7769702400,        0.3184956003,        1.0065910310,        0.0335701230,        0.0381917753,        0.6652378792,        1.3629851644,        0.3097949751,
     1,      64,      10,       16.1100000000,        5.0000000000,       56.2705448960,        0.1774940451,        0.5347557375,        0.0494191635,        0.0501735802,        0.3246946198,        0.6821897747,        0.0528770822,
     1,      65,      16,       18.0000000000,        5.0000000000,       55.7025894400,        0.0010120077,        0.0685973972,        0.0000000000,        0.0000000000,        0.4043790806,        0.7703274430,        0.0000000000,
     1,      66,      16,       19.8900000000,        5.0000000000,       55.0737264640,        0.0021833419,        0.1090677258,        0.0000000000,        0.0000000000,        0.3932482242,        0.8196536167,        0.0000000000,
     1,      67,      16,       21.7900000000,        5.0000000000,       54.3846359040,        0.0059612517,        0.1564232637,        0.0000000000,        0.0000000000,        0.4454731186,        0.8689534499,        0.0000000000,
     1,      68,      16,       23.6800000000,        5.0000000000,       53.6360837120,        0.0077255314,        0.1662567251,        0.0000000000,        0.0000000000,        0.4684587492,        0.8809568483,        0.0000000000,
     1,      69,      16,       25.5800000000,        5.0000000000,       52.8288768000,        0.0037685707,        0.1447452910,        0.0000000000,        0.0000000000,        0.3447323306,        0.8573840268,        0.0000000000,
     1,      70,      16,       27.4700000000,        5.0000000000,       51.9639040000,        0.0045108475,        0.1076595601,        0.0000000000,        0.0000000000,        0.5111903206,        0.8329883313,        0.0000000608,
     1,      71,      16,       29.3700000000,        5.0000000000,       51.0421073920,        0.0194426093,        0.1938218624,        0.0000000000,        0.0000000000,        0.3714236489,        0.8883850404,        0.0000009794,
     1,      72,      16,       31.2600000000,        5.0000000000,       50.0644986880,        0.1501056312,        0.4522404330,        0.0000267752,        0.0000000000,        0.4476759874,        0.8491676629,        0.0002364817,
     1,      73,      16,       33.1600000000,        5.0000000000,       49.0321428480,        0.1597896510,        0.5335263686,        0.0004826922,        0.0009049651,        0.4741157962,        1.0806244769,        0.0075215671,
     1,      74,      16,       35.0500000000,        5.0000000000,       47.9461744640,        0.2521075363,        0.9123066126,        0.0061044105,        0.0102046419,        0.7278377721,        1.5586106377,        0.1400675693,
     1,      75,      17,       36.9500000000,        5.0000000000,       24.2113617920,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,      76,      17,       42.6300000000,        5.0000000000,        4.8321950720,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
     1,      77,      14,       44.5300000000,        5.0000000000,       41.7556234240,        1.5166339856,        3.7333680953,        0.1009983628,        0.1135398039,        3.2802590367,        3.5955470763,        3.8275690891,
     1,      78,      14,       46.4200000000,        5.0000000000,       40.3748536320,        1.5464537499,        3.8028092801,        0.1044412543,        0.1217655958,        3.4745973032,        3.5761851826,        4.4066675379,
     1,      79,      12,       48.3200000000,        5.0000000000,       38.9499371520,        1.3150098515,        3.8922928859,        0.0909061203,        0.1114484828,        3.2000692884,        3.8913254169,        3.8731890702,
     1,      80,      12,       50.2100000000,        5.0000000000,       37.4824263680,        1.3308583828,        3.8840824672,        0.0822581755,        0.0975777732,        2.9595157281,        3.9790554003,        3.0370879711,
     1,      81,      12,       52.1100000000,        5.0000000000,       19.8225264640,        1.3849785500,        4.1214455495,        0.0818571897,        0.0917059177,        2.6705161399,        4.2808048129,        1.8112189351,
     1,      82,      17,       54.0000000000,        5.0000000000,        0.2194349760,        1.0000000000,        1.0000000000,        0.0150000000,        0.0250000000,        1.0000000000,        1.0000000000,        0.0000000000,
