ijcam,lat,lon,sand,clay,silt,wwilt,wfield,wsat
   343,  12.32,   7.50, 0.66234, 0.25283, 0.08483, 0.13537, 0.23645, 0.40584,
   344,  14.21,   7.50, 0.87470, 0.09457, 0.03073, 0.08250, 0.16614, 0.37891,
   345,  16.11,   7.50, 0.75639, 0.07534, 0.16827, 0.12145, 0.17145, 0.39385,
   346,  18.00,   7.50, 0.56773, 0.11064, 0.32163, 0.11505, 0.20670, 0.41767,
   347,  19.89,   7.50, 0.56228, 0.26848, 0.16924, 0.14698, 0.25416, 0.41839,
   348,  21.79,   7.50, 0.75954, 0.10967, 0.13078, 0.08717, 0.18413, 0.39342,
   349,  23.68,   7.50, 0.75954, 0.10967, 0.13078, 0.08717, 0.18401, 0.39335,
   350,  25.58,   7.50, 0.43818, 0.13744, 0.42437, 0.12918, 0.23264, 0.43392,
   351,  27.47,   7.50, 0.90000, 0.05000, 0.05000, 0.09619, 0.14619, 0.37577,
   352,  29.37,   7.50, 0.90000, 0.05000, 0.05000, 0.09623, 0.14623, 0.37578,
   353,  31.26,   7.50, 0.90000, 0.05000, 0.05000, 0.09613, 0.14613, 0.37574,
   354,  33.16,   7.50, 0.90000, 0.05000, 0.05000, 0.09619, 0.14619, 0.37576,
   355,  35.05,   7.50, 0.36355, 0.24885, 0.38760, 0.15502, 0.27573, 0.44356,
   356,  36.95,   7.50, 0.42415, 0.26881, 0.30704, 0.15564, 0.27257, 0.43633,
   357,  38.84,   7.50, 0.41949, 0.24337, 0.33713, 0.14729, 0.26719, 0.43696,
   358,  40.74,   7.50, 0.37087, 0.25243, 0.37670, 0.15525, 0.27740, 0.44444,
   359,  42.63,   7.50, 0.47696, 0.26305, 0.25999, 0.14945, 0.26447, 0.43021,
   360,  44.53,   7.50, 0.46063, 0.24787, 0.29151, 0.14492, 0.26277, 0.43214,
   361,  46.42,   7.50, 0.52228, 0.30848, 0.16924, 0.16754, 0.26892, 0.42500,
   362,  48.32,   7.50, 0.40770, 0.23474, 0.35756, 0.14589, 0.26702, 0.43945,
   363,  50.21,   7.50, 0.48955, 0.22360, 0.28685, 0.13362, 0.25305, 0.42907,
   364,  52.11,   7.50, 0.61543, 0.10056, 0.28401, 0.11339, 0.20158, 0.41549,
   365,  54.00,   7.50, 0.37094, 0.23407, 0.39500, 0.15006, 0.27631, 0.44903,
   366,  55.89,   7.50, 0.56847, 0.13553, 0.29600, 0.10750, 0.21887, 0.42034,
   367,  57.79,   7.50, 0.53599, 0.19582, 0.26820, 0.11985, 0.24062, 0.42667,
   368,  59.68,   7.50, 0.61562, 0.14967, 0.23470, 0.10079, 0.21693, 0.41663,
   369,  61.58,   7.50, 0.61562, 0.14967, 0.23470, 0.10079, 0.21686, 0.41527,
   370,  63.47,   7.50, 0.61562, 0.14967, 0.23470, 0.10079, 0.21628, 0.41569,
   395, -71.05,  10.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   396, -69.16,  10.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   430,  -4.74,  10.00, 0.60397, 0.27023, 0.12580, 0.14631, 0.24930, 0.41352,
   431,  -2.84,  10.00, 0.35027, 0.43522, 0.21451, 0.22078, 0.31449, 0.44599,
   432,  -0.95,  10.00, 0.35027, 0.43522, 0.21451, 0.22078, 0.31447, 0.44597,
   433,   0.95,  10.00, 0.38426, 0.45528, 0.16045, 0.23011, 0.31308, 0.44195,
   434,   2.84,  10.00, 0.38426, 0.45528, 0.16045, 0.23011, 0.31353, 0.44248,
   435,   4.74,  10.00, 0.38968, 0.44734, 0.16298, 0.22729, 0.31129, 0.44149,
   436,   6.63,  10.00, 0.36658, 0.48045, 0.15297, 0.23853, 0.31912, 0.44414,
   437,   8.53,  10.00, 0.47674, 0.34760, 0.17567, 0.18653, 0.28102, 0.42955,
   438,  10.42,  10.00, 0.39094, 0.40562, 0.20344, 0.21064, 0.30326, 0.44030,
   439,  12.32,  10.00, 0.62369, 0.19372, 0.18259, 0.11043, 0.22733, 0.41072,
   440,  14.21,  10.00, 0.87470, 0.09457, 0.03073, 0.08250, 0.16616, 0.37892,
   441,  16.11,  10.00, 0.90000, 0.05000, 0.05000, 0.09608, 0.14608, 0.37572,
   442,  18.00,  10.00, 0.90000, 0.05000, 0.05000, 0.09621, 0.14621, 0.37578,
   443,  19.89,  10.00, 0.26788, 0.14160, 0.59052, 0.16363, 0.25657, 0.45540,
   444,  21.79,  10.00, 0.26788, 0.14160, 0.59052, 0.16363, 0.25653, 0.45535,
   445,  23.68,  10.00, 0.73152, 0.15924, 0.10924, 0.08988, 0.20387, 0.39692,
   446,  25.58,  10.00, 0.73152, 0.15924, 0.10924, 0.08988, 0.20389, 0.39693,
   447,  27.47,  10.00, 0.26047, 0.14148, 0.59805, 0.16539, 0.25756, 0.45632,
   448,  29.37,  10.00, 0.27422, 0.16732, 0.55846, 0.15794, 0.26450, 0.45466,
   449,  31.26,  10.00, 0.90000, 0.05000, 0.05000, 0.09632, 0.14632, 0.37582,
   450,  33.16,  10.00, 0.56228, 0.26848, 0.16924, 0.14698, 0.25412, 0.41836,
   451,  35.05,  10.00, 0.33504, 0.21811, 0.44685, 0.15124, 0.27132, 0.44728,
   452,  36.95,  10.00, 0.33692, 0.27121, 0.39187, 0.16442, 0.28494, 0.44726,
   453,  38.84,  10.00, 0.41949, 0.24337, 0.33713, 0.14729, 0.26723, 0.43699,
   454,  40.74,  10.00, 0.41949, 0.24337, 0.33713, 0.14729, 0.26769, 0.43752,
   455,  42.63,  10.00, 0.50059, 0.25280, 0.24661, 0.14362, 0.25859, 0.42711,
   456,  44.53,  10.00, 0.50207, 0.20801, 0.28993, 0.12725, 0.24722, 0.42682,
   457,  46.42,  10.00, 0.52228, 0.30848, 0.16924, 0.16754, 0.26882, 0.42477,
   458,  48.32,  10.00, 0.38705, 0.23189, 0.38106, 0.14750, 0.26869, 0.44176,
   459,  50.21,  10.00, 0.48955, 0.22360, 0.28685, 0.13362, 0.25301, 0.42888,
   460,  52.11,  10.00, 0.76766, 0.05863, 0.17371, 0.11516, 0.16516, 0.39417,
   461,  54.00,  10.00, 0.61543, 0.10056, 0.28401, 0.11339, 0.20068, 0.41479,
   462,  55.89,  10.00, 0.56847, 0.13553, 0.29600, 0.10750, 0.21861, 0.42015,
   463,  57.79,  10.00, 0.46493, 0.25065, 0.28442, 0.14558, 0.26522, 0.43413,
   464,  59.68,  10.00, 0.53599, 0.19582, 0.26820, 0.11985, 0.24166, 0.42993,
   465,  61.58,  10.00, 0.60779, 0.12158, 0.27063, 0.10413, 0.21207, 0.42477,
   466,  63.47,  10.00, 0.53599, 0.19582, 0.26820, 0.11985, 0.24098, 0.42855,
   467,  65.37,  10.00, 0.53599, 0.19582, 0.26820, 0.11985, 0.24095, 0.42767,
   474,  78.63,  10.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   491, -71.05,  12.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   492, -69.16,  12.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   518, -19.89,  12.50, 0.56458, 0.20296, 0.23246, 0.11916, 0.23684, 0.41799,
   519, -18.00,  12.50, 0.57464, 0.20510, 0.22026, 0.11895, 0.23611, 0.41673,
   520, -16.11,  12.50, 0.57464, 0.20510, 0.22026, 0.11895, 0.23625, 0.41683,
   521, -14.21,  12.50, 0.33623, 0.29346, 0.37031, 0.17130, 0.28912, 0.44706,
   522, -12.32,  12.50, 0.33623, 0.29346, 0.37031, 0.17130, 0.28921, 0.44715,
   523, -10.42,  12.50, 0.33818, 0.38086, 0.28096, 0.20096, 0.30715, 0.44724,
   524,  -8.53,  12.50, 0.36554, 0.47707, 0.15740, 0.23718, 0.31455, 0.44361,
   525,  -6.63,  12.50, 0.42820, 0.41207, 0.15973, 0.21451, 0.29998, 0.43577,
   526,  -4.74,  12.50, 0.60397, 0.27023, 0.12580, 0.14631, 0.24971, 0.41385,
   527,  -2.84,  12.50, 0.38240, 0.43969, 0.17791, 0.22387, 0.31103, 0.44199,
   528,  -0.95,  12.50, 0.45267, 0.37235, 0.17497, 0.19766, 0.28980, 0.43298,
   529,   0.95,  12.50, 0.34842, 0.45020, 0.20138, 0.22618, 0.31723, 0.44635,
   530,   2.84,  12.50, 0.38589, 0.44623, 0.16788, 0.22663, 0.31195, 0.44212,
   531,   4.74,  12.50, 0.37720, 0.47510, 0.14769, 0.23733, 0.31762, 0.44355,
   532,   6.63,  12.50, 0.37720, 0.47510, 0.14769, 0.23733, 0.31691, 0.44272,
   533,   8.53,  12.50, 0.45465, 0.39784, 0.14751, 0.20920, 0.29038, 0.43235,
   534,  10.42,  12.50, 0.63045, 0.16822, 0.20133, 0.10207, 0.21940, 0.41015,
   535,  12.32,  12.50, 0.68933, 0.19374, 0.11694, 0.10517, 0.21934, 0.40242,
   536,  14.21,  12.50, 0.68933, 0.19374, 0.11694, 0.10517, 0.21929, 0.40239,
   537,  16.11,  12.50, 0.77483, 0.06218, 0.16299, 0.11397, 0.16397, 0.39151,
