ijcam,lat,lon,sand,clay,silt,wwilt,wfield,wsat
   346,  18.00,   7.50, 0.56361, 0.10501, 0.33138, 0.11917, 0.20658, 0.42043,
   347,  19.89,   7.50, 0.56111, 0.26926, 0.16963, 0.14741, 0.25593, 0.42094,
   348,  21.79,   7.50, 0.75447, 0.10987, 0.13566, 0.08772, 0.18584, 0.39587,
   349,  23.68,   7.50, 0.75447, 0.10987, 0.13566, 0.08772, 0.18543, 0.39527,
   350,  25.58,   7.50, 0.42851, 0.13350, 0.43799, 0.13187, 0.23376, 0.43696,
   351,  27.47,   7.50, 0.90000, 0.05000, 0.05000, 0.09739, 0.14739, 0.37792,
   352,  29.37,   7.50, 0.90000, 0.05000, 0.05000, 0.09746, 0.14746, 0.37804,
   353,  31.26,   7.50, 0.90000, 0.05000, 0.05000, 0.09725, 0.14725, 0.37772,
   354,  33.16,   7.50, 0.90000, 0.05000, 0.05000, 0.09737, 0.14737, 0.37790,
   355,  35.05,   7.50, 0.36079, 0.24985, 0.38935, 0.15562, 0.27822, 0.44677,
   356,  36.95,   7.50, 0.44330, 0.26448, 0.29222, 0.15252, 0.27139, 0.43764,
   357,  38.84,   7.50, 0.40882, 0.24154, 0.34963, 0.14783, 0.27039, 0.44207,
   358,  40.74,   7.50, 0.35983, 0.25098, 0.38919, 0.15605, 0.28165, 0.45144,
   359,  42.63,   7.50, 0.47833, 0.25619, 0.26547, 0.14663, 0.26479, 0.43373,
   360,  44.53,   7.50, 0.46558, 0.23834, 0.29608, 0.14105, 0.26189, 0.43511,
   361,  46.42,   7.50, 0.52111, 0.30926, 0.16963, 0.16794, 0.27121, 0.42885,
   362,  48.32,   7.50, 0.39771, 0.23232, 0.36996, 0.14634, 0.27022, 0.44492,
   363,  50.21,   7.50, 0.51087, 0.21110, 0.27803, 0.12728, 0.24935, 0.43042,
   364,  52.11,   7.50, 0.62376, 0.10036, 0.27589, 0.11215, 0.20338, 0.42096,
   365,  54.00,   7.50, 0.31205, 0.27204, 0.41591, 0.16731, 0.29690, 0.46339,
   366,  55.89,   7.50, 0.56937, 0.13261, 0.29802, 0.10772, 0.22065, 0.42646,
   367,  57.79,   7.50, 0.53818, 0.19276, 0.26906, 0.11872, 0.24146, 0.43009,
   368,  59.68,   7.50, 0.61812, 0.14987, 0.23202, 0.10049, 0.21877, 0.42043,
   369,  61.58,   7.50, 0.61812, 0.14987, 0.23202, 0.10049, 0.21885, 0.41960,
   370,  63.47,   7.50, 0.61812, 0.14987, 0.23202, 0.10049, 0.21803, 0.41906,
   395, -71.05,  10.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   396, -69.16,  10.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   430,  -4.74,  10.00, 0.58476, 0.29838, 0.11686, 0.16142, 0.26007, 0.41963,
   431,  -2.84,  10.00, 0.32644, 0.46137, 0.21219, 0.22903, 0.32440, 0.45347,
   432,  -0.95,  10.00, 0.32644, 0.46137, 0.21219, 0.22903, 0.32440, 0.45349,
   433,   0.95,  10.00, 0.40918, 0.44200, 0.14882, 0.22626, 0.31062, 0.44355,
   434,   2.84,  10.00, 0.40918, 0.44200, 0.14882, 0.22626, 0.31131, 0.44464,
   435,   4.74,  10.00, 0.41728, 0.43298, 0.14974, 0.22294, 0.30834, 0.44292,
   436,   6.63,  10.00, 0.39125, 0.46343, 0.14532, 0.23381, 0.31618, 0.44571,
   437,   8.53,  10.00, 0.42718, 0.39542, 0.17739, 0.20730, 0.29867, 0.43944,
   438,  10.42,  10.00, 0.38518, 0.41339, 0.20143, 0.21359, 0.30767, 0.44442,
   439,  12.32,  10.00, 0.62763, 0.19729, 0.17508, 0.11139, 0.22945, 0.41295,
   440,  14.21,  10.00, 0.87229, 0.09743, 0.03027, 0.08073, 0.16858, 0.38119,
   441,  16.11,  10.00, 0.90000, 0.05000, 0.05000, 0.09714, 0.14714, 0.37757,
   442,  18.00,  10.00, 0.90000, 0.05000, 0.05000, 0.09742, 0.14742, 0.37798,
   443,  19.89,  10.00, 0.26339, 0.13018, 0.60643, 0.16876, 0.25459, 0.45784,
   444,  21.79,  10.00, 0.26339, 0.13018, 0.60643, 0.16876, 0.25435, 0.45751,
   445,  23.68,  10.00, 0.73074, 0.15963, 0.10963, 0.09005, 0.20504, 0.39862,
   446,  25.58,  10.00, 0.73074, 0.15963, 0.10963, 0.09005, 0.20511, 0.39872,
   447,  27.47,  10.00, 0.25449, 0.13011, 0.61540, 0.17097, 0.25574, 0.45887,
   448,  29.37,  10.00, 0.22547, 0.18687, 0.58767, 0.16753, 0.27917, 0.46300,
   449,  31.26,  10.00, 0.90000, 0.05000, 0.05000, 0.09764, 0.14764, 0.37830,
   450,  33.16,  10.00, 0.56111, 0.26926, 0.16963, 0.14741, 0.25581, 0.42074,
   451,  35.05,  10.00, 0.31997, 0.22583, 0.45420, 0.15501, 0.27784, 0.45237,
   452,  36.95,  10.00, 0.32119, 0.27677, 0.40204, 0.16767, 0.29084, 0.45294,
   453,  38.84,  10.00, 0.40882, 0.24154, 0.34963, 0.14783, 0.27045, 0.44211,
   454,  40.74,  10.00, 0.40882, 0.24154, 0.34963, 0.14783, 0.27127, 0.44340,
   455,  42.63,  10.00, 0.51082, 0.24065, 0.24853, 0.13797, 0.25635, 0.42926,
   456,  44.53,  10.00, 0.49016, 0.20915, 0.30069, 0.12891, 0.25132, 0.43227,
   457,  46.42,  10.00, 0.52111, 0.30926, 0.16963, 0.16794, 0.27112, 0.42856,
   458,  48.32,  10.00, 0.39356, 0.22569, 0.38075, 0.14503, 0.26873, 0.44508,
   459,  50.21,  10.00, 0.51087, 0.21110, 0.27803, 0.12728, 0.24941, 0.43038,
   460,  52.11,  10.00, 0.76310, 0.05925, 0.17765, 0.11832, 0.16832, 0.39975,
   461,  54.00,  10.00, 0.62376, 0.10036, 0.27589, 0.11215, 0.20258, 0.41999,
   462,  55.89,  10.00, 0.56937, 0.13261, 0.29802, 0.10772, 0.22038, 0.42611,
   463,  57.79,  10.00, 0.48347, 0.24518, 0.27135, 0.14196, 0.26448, 0.43769,
   464,  59.68,  10.00, 0.53818, 0.19276, 0.26906, 0.11872, 0.24259, 0.43311,
   465,  61.58,  10.00, 0.60897, 0.12099, 0.27004, 0.10412, 0.21332, 0.42784,
   466,  63.47,  10.00, 0.53818, 0.19276, 0.26906, 0.11872, 0.24222, 0.43175,
   467,  65.37,  10.00, 0.53818, 0.19276, 0.26906, 0.11872, 0.24178, 0.43082,
   474,  78.63,  10.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   491, -71.05,  12.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   492, -69.16,  12.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   518, -19.89,  12.50, 0.59362, 0.19632, 0.21006, 0.11410, 0.23256, 0.41613,
   519, -18.00,  12.50, 0.54858, 0.22539, 0.22603, 0.12889, 0.24614, 0.42188,
   520, -16.11,  12.50, 0.54858, 0.22539, 0.22603, 0.12889, 0.24657, 0.42254,
   521, -14.21,  12.50, 0.29161, 0.33242, 0.37598, 0.18678, 0.30566, 0.45570,
   522, -12.32,  12.50, 0.29161, 0.33242, 0.37598, 0.18678, 0.30589, 0.45604,
   523, -10.42,  12.50, 0.31061, 0.39785, 0.29154, 0.20706, 0.31634, 0.45472,
   524,  -8.53,  12.50, 0.26547, 0.59320, 0.14134, 0.26364, 0.34603, 0.45996,
   525,  -6.63,  12.50, 0.42333, 0.42825, 0.14843, 0.22125, 0.30551, 0.44019,
   526,  -4.74,  12.50, 0.58476, 0.29838, 0.11686, 0.16142, 0.26073, 0.42065,
   527,  -2.84,  12.50, 0.39789, 0.43452, 0.16759, 0.22257, 0.31083, 0.44456,
   528,  -0.95,  12.50, 0.42179, 0.41160, 0.16661, 0.21406, 0.30327, 0.44124,
   529,   0.95,  12.50, 0.33733, 0.46780, 0.19487, 0.23189, 0.32411, 0.45237,
   530,   2.84,  12.50, 0.39956, 0.44293, 0.15751, 0.22609, 0.31261, 0.44560,
   531,   4.74,  12.50, 0.39571, 0.46712, 0.13716, 0.23562, 0.31713, 0.44670,
   532,   6.63,  12.50, 0.39571, 0.46712, 0.13716, 0.23562, 0.31604, 0.44499,
   533,   8.53,  12.50, 0.35512, 0.50218, 0.14270, 0.24556, 0.32259, 0.44861,
   534,  10.42,  12.50, 0.61958, 0.16919, 0.21123, 0.10348, 0.22298, 0.41516,
   535,  12.32,  12.50, 0.69558, 0.19724, 0.10718, 0.10622, 0.22106, 0.40425,
   536,  14.21,  12.50, 0.69558, 0.19724, 0.10718, 0.10622, 0.22097, 0.40424,
   537,  16.11,  12.50, 0.76664, 0.06104, 0.17231, 0.11555, 0.16555, 0.39448,
   538,  18.00,  12.50, 0.90000, 0.05000, 0.05000, 0.09721, 0.14721, 0.37767,
   539,  19.89,  12.50, 0.26339, 0.13018, 0.60643, 0.16876, 0.25458, 0.45782,
   540,  21.79,  12.50, 0.26339, 0.13018, 0.60643, 0.16876, 0.25449, 0.45770,
   541,  23.68,  12.50, 0.90000, 0.05000, 0.05000, 0.09727, 0.14727, 0.37775,
   542,  25.58,  12.50, 0.90000, 0.05000, 0.05000, 0.09713, 0.14713, 0.37754,
   543,  27.47,  12.50, 0.90000, 0.05000, 0.05000, 0.09730, 0.14730, 0.37779,
   544,  29.37,  12.50, 0.44908, 0.22594, 0.32497, 0.13861, 0.25968, 0.43487,
   545,  31.26,  12.50, 0.44908, 0.22594, 0.32497, 0.13861, 0.25988, 0.43516,
   546,  33.16,  12.50, 0.41381, 0.19031, 0.39588, 0.13438, 0.25454, 0.43944,
   548,  36.95,  12.50, 0.49054, 0.23661, 0.27285, 0.13814, 0.25823, 0.43150,
   550,  40.74,  12.50, 0.45666, 0.29364, 0.24970, 0.16321, 0.27642, 0.43631,
   551,  42.63,  12.50, 0.34425, 0.22675, 0.42900, 0.15176, 0.27592, 0.45114,
   552,  44.53,  12.50, 0.46790, 0.25550, 0.27659, 0.14717, 0.26613, 0.43472,
   553,  46.42,  12.50, 0.62784, 0.12199, 0.25017, 0.10101, 0.20695, 0.41560,
   554,  48.32,  12.50, 0.39356, 0.22569, 0.38075, 0.14503, 0.26886, 0.44532,
   555,  50.21,  12.50, 0.49585, 0.22632, 0.27783, 0.13394, 0.25567, 0.43245,
   556,  52.11,  12.50, 0.52194, 0.20026, 0.27780, 0.12272, 0.24661, 0.43128,
   557,  54.00,  12.50, 0.39356, 0.22569, 0.38075, 0.14503, 0.26870, 0.44486,
   558,  55.89,  12.50, 0.34927, 0.26043, 0.39031, 0.15996, 0.28548, 0.45358,
   559,  57.79,  12.50, 0.57972, 0.12068, 0.29960, 0.10880, 0.21438, 0.42686,
   560,  59.68,  12.50, 0.60897, 0.12099, 0.27004, 0.10412, 0.21228, 0.42791,
   561,  61.58,  12.50, 0.60897, 0.12099, 0.27004, 0.10412, 0.21431, 0.43101,
   562,  63.47,  12.50, 0.53818, 0.19276, 0.26906, 0.11872, 0.24343, 0.43418,
   563,  65.37,  12.50, 0.53818, 0.19276, 0.26906, 0.11872, 0.24225, 0.43243,
   564,  67.26,  12.50, 0.64008, 0.14963, 0.21029, 0.09774, 0.21547, 0.41627,
   570,  78.63,  12.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   571,  80.53,  12.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   588, -69.16,  15.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   610, -27.47,  15.00, 0.59362, 0.19632, 0.21006, 0.11410, 0.23261, 0.41620,
   611, -25.58,  15.00, 0.76509, 0.07040, 0.16451, 0.11980, 0.16980, 0.39495,
   612, -23.68,  15.00, 0.76509, 0.07040, 0.16451, 0.11996, 0.16996, 0.39517,
   613, -21.79,  15.00, 0.52769, 0.17243, 0.29988, 0.11528, 0.23445, 0.42534,
   614, -19.89,  15.00, 0.52769, 0.17243, 0.29988, 0.11528, 0.23475, 0.42577,
   615, -18.00,  15.00, 0.49232, 0.21712, 0.29056, 0.13118, 0.25179, 0.42991,
   616, -16.11,  15.00, 0.70723, 0.15584, 0.13693, 0.09136, 0.20811, 0.40391,
   617, -14.21,  15.00, 0.43951, 0.42351, 0.13697, 0.22003, 0.30309, 0.43876,
   618, -12.32,  15.00, 0.43951, 0.42351, 0.13697, 0.22003, 0.30314, 0.43884,
   619, -10.42,  15.00, 0.43951, 0.42351, 0.13697, 0.22003, 0.30291, 0.43848,
   620,  -8.53,  15.00, 0.37739, 0.46790, 0.15472, 0.23456, 0.31807, 0.44646,
   621,  -6.63,  15.00, 0.37739, 0.46790, 0.15472, 0.23456, 0.31786, 0.44615,
   622,  -4.74,  15.00, 0.71844, 0.15643, 0.12513, 0.09040, 0.20762, 0.40376,
   623,  -2.84,  15.00, 0.62845, 0.30394, 0.06761, 0.16427, 0.25670, 0.41553,
   624,  -0.95,  15.00, 0.62845, 0.30394, 0.06761, 0.16427, 0.25741, 0.41663,
   625,   0.95,  15.00, 0.33733, 0.46780, 0.19487, 0.23189, 0.32482, 0.45348,
   626,   2.84,  15.00, 0.42765, 0.42426, 0.14808, 0.21975, 0.30562, 0.44155,
   627,   4.74,  15.00, 0.39571, 0.46712, 0.13716, 0.23562, 0.31562, 0.44433,
   628,   6.63,  15.00, 0.44402, 0.38883, 0.16715, 0.20484, 0.29664, 0.43824,
   629,   8.53,  15.00, 0.30691, 0.51885, 0.17424, 0.24673, 0.33298, 0.45437,
   630,  10.42,  15.00, 0.33934, 0.40702, 0.25364, 0.21029, 0.31353, 0.45091,
   631,  12.32,  15.00, 0.35470, 0.40284, 0.24246, 0.20893, 0.31049, 0.44866,
   632,  14.21,  15.00, 0.79304, 0.08122, 0.12574, 0.10681, 0.17091, 0.39128,
   633,  16.11,  15.00, 0.76664, 0.06104, 0.17231, 0.11563, 0.16563, 0.39458,
